ID,customerCode,name,phone,email,gender,birthDate,ageGroup,address,city,postalCode,membershipType,registeredAt,isActive,totalPurchaseAmount,visitCount,lastVisitDate,preferredStore_ID
f1000001-0000-4000-8000-000000000001,CUST-00001,성민준,010-7709-9672,sung1@gmail.com,M,1990-03-16,30대,수성구 테헤란로 229,대구,17329,SILVER,2023-10-10,true,7454472,67,2026-03-17,d1000001-0002-4000-8000-000000000002
f1000001-0000-4000-8000-000000000002,CUST-00002,곽소윤,010-8355-9898,kwak2@daum.net,F,1974-12-28,50대,수지구 문화길 40,용인,11232,VIP,2020-05-15,true,9801012,26,2026-03-01,d1000001-0005-4000-8000-000000000005
f1000001-0000-4000-8000-000000000003,CUST-00003,김형준,010-8006-7618,kim3@daum.net,F,1983-12-17,40대,남구 해방대로 37,광주,44441,VIP,2025-07-26,true,2355808,39,2026-02-28,d1000001-0005-4000-8000-000000000005
f1000001-0000-4000-8000-000000000004,CUST-00004,나소윤,010-1308-4378,na4@hanmail.net,M,1993-09-03,30대,남구 미래대로 111,부산,63960,GOLD,2024-11-24,true,6481791,80,2026-03-20,d1000001-0005-4000-8000-000000000005
f1000001-0000-4000-8000-000000000005,CUST-00005,함준호,010-4069-9822,ham5@daum.net,F,1960-08-17,60대+,부산진구 번영길 41,부산,50618,SILVER,2021-07-17,true,3880413,64,2026-04-07,d1000001-0001-4000-8000-000000000001
f1000001-0000-4000-8000-000000000006,CUST-00006,공나연,010-5959-8598,gong6@kakao.com,M,1961-03-28,60대+,중원구 해방길 126,성남,59212,SILVER,2022-01-27,true,9427142,24,2026-03-22,d1000001-0004-4000-8000-000000000004
f1000001-0000-4000-8000-000000000007,CUST-00007,서상우,010-5917-6931,seo7@gmail.com,M,1995-07-15,30대,동구 학원번길 154,대구,63919,REGULAR,2023-09-22,true,8229751,27,2026-04-03,d1000001-0005-4000-8000-000000000005
f1000001-0000-4000-8000-000000000008,CUST-00008,신도윤,010-7649-3475,shin8@naver.com,F,1972-03-12,50대,금정구 청춘길 221,부산,63079,REGULAR,2022-12-19,true,9408440,16,2026-04-10,d1000001-0001-4000-8000-000000000001
f1000001-0000-4000-8000-000000000009,CUST-00009,현지원,010-5615-6062,hyun9@daum.net,F,1965-01-27,60대+,팔달구 해방길 104,수원,41633,SILVER,2025-05-11,true,8166708,20,2026-04-14,d1000001-0004-4000-8000-000000000004
f1000001-0000-4000-8000-000000000010,CUST-00010,배재민,010-1543-9597,bae10@gmail.com,F,1982-11-28,40대,기흥구 문화번길 283,용인,62125,VIP,2024-05-07,true,9211487,69,2026-03-11,d1000001-0001-4000-8000-000000000001
